"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.019418208E0,-2.102569580E1,-8.137760162E-1,-5.068589401E1,5.487988673E1
2.029465208E0,-2.097254181E1,-7.611789703E-1,-5.074591064E1,5.491424542E1
2.039513208E0,-2.082753372E1,-3.141870499E-1,-5.092464447E1,5.502003534E1
2.049560208E0,-2.084340668E1,-6.313848495E-2,-5.093961334E1,5.503903883E1
2.059607208E0,-2.080717468E1,1.460285187E-1,-5.110022354E1,5.517420311E1
2.069654208E0,-2.061503601E1,2.802906036E-1,-5.105018997E1,5.505615469E1
2.079702208E0,-2.045621490E1,3.485760689E-1,-5.126095200E1,5.519296543E1
2.089749208E0,-2.040959167E1,3.121867180E-1,-5.095489120E1,5.489125459E1
2.099796208E0,-2.021680069E1,3.351345062E-1,-5.116678238E1,5.501700614E1
2.109844208E0,-2.006047440E1,4.335017204E-1,-5.111749268E1,5.491455740E1
2.119891208E0,-1.993251801E1,7.665891647E-1,-5.131574631E1,5.505632345E1
2.129938208E0,-1.971164322E1,9.629077911E-1,-5.140355301E1,5.506179557E1
2.139986208E0,-1.951702499E1,1.396540642E0,-5.140316391E1,5.500136226E1
2.150033208E0,-1.926573563E1,1.984606743E0,-5.164308548E1,5.515537608E1
2.160080208E0,-1.925004196E1,2.876426697E0,-5.166793442E1,5.521243875E1
2.170127208E0,-1.924437332E1,3.753463268E0,-5.140579605E1,5.501809029E1
2.180175208E0,-1.941228485E1,5.016484261E0,-5.142325592E1,5.519377834E1
2.190222208E0,-1.967708588E1,6.238501072E0,-5.112850571E1,5.513828706E1
2.200269208E0,-1.976688004E1,7.499956131E0,-5.088501358E1,5.510230027E1
2.210317208E0,-2.001176071E1,8.658028603E0,-5.053945160E1,5.504242177E1
2.220364208E0,-2.015953827E1,9.704895020E0,-5.014334488E1,5.490853309E1
2.230411208E0,-2.035051346E1,1.099547863E1,-4.973258209E1,5.484864328E1
2.240458208E0,-2.032497406E1,1.187992477E1,-4.958911514E1,5.489369293E1
2.250506208E0,-2.018824005E1,1.302657318E1,-4.937588882E1,5.491115590E1
2.260553208E0,-1.993436813E1,1.389422226E1,-4.939734268E1,5.505021262E1
2.270600208E0,-1.987455750E1,1.478505325E1,-4.931244278E1,5.518435329E1
2.280648208E0,-1.971074677E1,1.548888874E1,-4.917023468E1,5.519176742E1
2.290695208E0,-1.959624863E1,1.592311478E1,-4.907544327E1,5.519019547E1
2.300742208E0,-1.956089020E1,1.618077087E1,-4.875764084E1,5.497047673E1
2.310789208E0,-1.963112259E1,1.643267441E1,-4.878684235E1,5.509600483E1
2.320837208E0,-1.958563995E1,1.644639587E1,-4.903252029E1,5.530162092E1
